"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03973099999","1929-10-01","53.910297","-8.818492","202.69","CONNAUGHT, EI","  53.2"," 4","  47.3"," 4","1003.9"," 4","999.9"," 0"," 15.5"," 4"," 16.2"," 4"," 29.9","999.9","  57.0","*","  46.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-02","53.910297","-8.818492","202.69","CONNAUGHT, EI","  52.5"," 4","  41.5"," 4"," 993.9"," 4","999.9"," 0","  9.9"," 4"," 25.4"," 4"," 29.9","999.9","  57.9"," ","  48.9"," ","99.99"," ","999.9","010100"
"03973099999","1929-10-03","53.910297","-8.818492","202.69","CONNAUGHT, EI","  50.0"," 4","  40.5"," 4"," 994.2"," 4","999.9"," 0","  9.9"," 4"," 22.4"," 4"," 23.9","999.9","  57.0"," ","  45.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-04","53.910297","-8.818492","202.69","CONNAUGHT, EI","  49.5"," 4","  41.5"," 4"," 999.9"," 4","999.9"," 0"," 19.3"," 4","  8.0"," 4"," 13.0","999.9","  55.0"," ","  46.9"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-05","53.910297","-8.818492","202.69","CONNAUGHT, EI","  47.2"," 4","  42.0"," 4"," 994.3"," 4","999.9"," 0"," 12.4"," 4","  8.0"," 4","  8.9","999.9","  53.1"," ","  43.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-06","53.910297","-8.818492","202.69","CONNAUGHT, EI","  50.5"," 4","  41.9"," 4"," 992.0"," 4","999.9"," 0","  9.9"," 4"," 22.4"," 4"," 23.9","999.9","  51.1"," ","  45.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-07","53.910297","-8.818492","202.69","CONNAUGHT, EI","  49.5"," 4","  41.8"," 4"," 999.7"," 4","999.9"," 0"," 19.3"," 4"," 11.2"," 4"," 18.1","999.9","  54.0"," ","  45.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-08","53.910297","-8.818492","202.69","CONNAUGHT, EI","  49.2"," 4","  40.7"," 4","1001.7"," 4","999.9"," 0","  9.9"," 4"," 15.5"," 4"," 18.1","999.9","  53.1"," ","  46.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-09","53.910297","-8.818492","202.69","CONNAUGHT, EI","  51.3"," 4","  41.8"," 4","1022.0"," 4","999.9"," 0"," 15.5"," 4"," 12.2"," 4"," 18.1","999.9","  54.0","*","  45.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-10","53.910297","-8.818492","202.69","CONNAUGHT, EI","  55.3"," 4","  52.6"," 4","1020.2"," 4","999.9"," 0","  6.8"," 4"," 18.3"," 4"," 23.9","999.9","  55.9","*","  52.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-11","53.910297","-8.818492","202.69","CONNAUGHT, EI","  54.2"," 4","  50.0"," 4","1022.0"," 4","999.9"," 0","  8.4"," 4","  7.2"," 4"," 13.0","999.9","  57.0"," ","  50.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-12","53.910297","-8.818492","202.69","CONNAUGHT, EI","  56.2"," 4","  51.8"," 4","1024.2"," 4","999.9"," 0","  9.9"," 4","  8.2"," 4"," 13.0","999.9","  57.0"," ","  53.1"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-13","53.910297","-8.818492","202.69","CONNAUGHT, EI","  57.0"," 4","  53.8"," 4","1019.3"," 4","999.9"," 0","  6.8"," 4"," 14.3"," 4"," 18.1","999.9","  59.0","*","  52.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-14","53.910297","-8.818492","202.69","CONNAUGHT, EI","  57.5"," 4","  54.2"," 4","1020.8"," 4","999.9"," 0","  9.9"," 4"," 12.7"," 4"," 23.9","999.9","  61.0"," ","  55.0","*","99.99"," ","999.9","010000"
"03973099999","1929-10-15","53.910297","-8.818492","202.69","CONNAUGHT, EI","  57.5"," 4","  54.0"," 4","1020.3"," 4","999.9"," 0","  8.4"," 4"," 11.0"," 4"," 13.0","999.9","  60.1"," ","  55.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-16","53.910297","-8.818492","202.69","CONNAUGHT, EI","  55.0"," 4","  52.0"," 4","1008.2"," 4","999.9"," 0","  9.3"," 4"," 22.4"," 4"," 23.9","999.9","  61.0"," ","  54.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-17","53.910297","-8.818492","202.69","CONNAUGHT, EI","  51.8"," 4","  45.8"," 4","1014.6"," 4","999.9"," 0"," 10.9"," 4"," 12.0"," 4"," 13.0","999.9","  57.9"," ","  50.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-18","53.910297","-8.818492","202.69","CONNAUGHT, EI","  49.0"," 4","  41.2"," 4","1014.3"," 4","999.9"," 0","  9.9"," 4"," 18.3"," 4"," 23.9","999.9","  55.9"," ","  46.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-19","53.910297","-8.818492","202.69","CONNAUGHT, EI","  48.5"," 4","  39.0"," 4","1009.1"," 4","999.9"," 0"," 17.1"," 4","  4.5"," 4","  8.9","999.9","  52.0"," ","  42.1"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-20","53.910297","-8.818492","202.69","CONNAUGHT, EI","  52.8"," 4","  45.5"," 4","9999.9"," 0","999.9"," 0","  6.2"," 4"," 21.2"," 4"," 29.9","999.9","  59.0","*","  50.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-21","53.910297","-8.818492","202.69","CONNAUGHT, EI","  52.0"," 4","  47.5"," 4","1013.1"," 4","999.9"," 0","  7.8"," 4"," 14.7"," 4"," 23.9","999.9","  53.1"," ","  48.0"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-22","53.910297","-8.818492","202.69","CONNAUGHT, EI","  51.5"," 4","  47.0"," 4","1009.6"," 4","999.9"," 0"," 10.9"," 4"," 11.0"," 4"," 13.0","999.9","  54.0"," ","  48.9"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-23","53.910297","-8.818492","202.69","CONNAUGHT, EI","  52.5"," 4","  49.0"," 4"," 995.5"," 4","999.9"," 0","  6.2"," 4"," 14.5"," 4"," 18.1","999.9","  55.0","*","  48.9"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-24","53.910297","-8.818492","202.69","CONNAUGHT, EI","  46.3"," 4","  37.0"," 4"," 985.6"," 4","999.9"," 0"," 10.9"," 4"," 14.3"," 4"," 18.1","999.9","  55.9"," ","  44.1"," ","99.99"," ","999.9","010000"
"03973099999","1929-10-25","53.910297","-8.818492","202.69","CONNAUGHT, EI","  43.0"," 4","  35.0"," 4"," 989.0"," 4","999.9"," 0"," 10.9"," 4"," 10.0"," 4"," 13.0","999.9","  48.9"," ","  39.0"," "," 0.00","I","999.9","000000"
"03973099999","1929-10-26","53.910297","-8.818492","202.69","CONNAUGHT, EI","  47.0"," 4","  37.7"," 4","1005.4"," 4","999.9"," 0"," 15.5"," 4","  5.7"," 4","  8.9","999.9","  51.1","*","  41.0"," "," 0.00","I","999.9","000000"
