"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10491099999","1942-01-01",,,,,"  35.2"," 5","  34.1"," 5","1022.0"," 5","999.9"," 0","  1.1"," 5"," 14.2"," 5"," 18.1","999.9","  36.0"," ","  19.0"," "," 0.06","F","999.9","010000"
"10491099999","1942-01-02",,,,,"  35.6"," 6","  34.4"," 6","1028.2"," 6","999.9"," 0","  1.2"," 6","  8.3"," 6","  8.9","999.9","  36.0"," ","  34.0"," "," 0.18","F","999.9","010000"
"10491099999","1942-01-03",,,,,"  36.0"," 6","  35.1"," 6","1028.1"," 6","999.9"," 0","  0.1"," 6","  4.1"," 6","  8.9","999.9","  36.0"," ","  34.0"," "," 0.12","F","999.9","100000"
"10491099999","1942-01-04",,,,,"  37.8"," 5","  34.2"," 5","1015.2"," 5","999.9"," 0","  2.2"," 5","  6.2"," 5"," 13.0","999.9","  41.0"," ","  36.0"," "," 0.02","E","999.9","000000"
"10491099999","1942-01-05",,,,,"  40.0"," 6","  36.1"," 6","1007.8"," 6","999.9"," 0","  4.3"," 6"," 13.3"," 6"," 18.1","999.9","  41.0"," ","  36.0"," "," 0.02","E","999.9","010000"
"10491099999","1942-01-06",,,,,"  30.4"," 5","  26.4"," 5","1015.8"," 5","999.9"," 0","  9.2"," 5","  5.2"," 5","  8.9","999.9","  32.0"," ","  30.0"," "," 0.02","E","999.9","000000"
"10491099999","1942-01-07",,,,,"  22.7"," 6","  20.3"," 6","1024.4"," 6","999.9"," 0","  6.7"," 6","  0.3"," 6","  1.9","999.9","  28.0"," ","  16.0"," "," 0.00","I","999.9","000000"
"10491099999","1942-01-08",,,,,"  20.7"," 6","  18.0"," 6","1020.7"," 6","999.9"," 0","  5.0"," 6","  0.8"," 6","  5.1","999.9","  27.0","*","  12.0"," "," 0.00","I","999.9","000000"
"10491099999","1942-01-09",,,,,"  20.2"," 6","  15.8"," 6","1014.0"," 6","999.9"," 0","  5.0"," 6","  1.8"," 6","  5.1","999.9","  25.0"," ","  14.0"," ","99.99"," ","999.9","001000"
"10491099999","1942-01-10",,,,,"  19.2"," 6","  17.3"," 6","1017.7"," 6","999.9"," 0","  2.5"," 6","  6.5"," 6","  8.9","999.9","  23.0"," ","  14.0"," "," 0.05","F","999.9","001000"
"10491099999","1942-01-11",,,,,"  16.8"," 5","  14.0"," 5","1021.0"," 5","999.9"," 0","  4.7"," 5","  3.8"," 5","  5.1","999.9","  18.0","*","  14.0"," "," 0.05","F","999.9","001000"
"10491099999","1942-01-12",,,,,"  15.6"," 6","   9.7"," 6","1021.8"," 6","999.9"," 0","  6.0"," 6","  5.1"," 6","  5.1","999.9","  18.0"," ","  12.0"," "," 0.00","I","999.9","000000"
"10491099999","1942-01-13",,,,,"  11.7"," 6","   4.6"," 6","1015.3"," 6","999.9"," 0","  6.0"," 6","  5.3"," 6","  8.9","999.9","  21.0"," ","   5.0"," "," 0.00","I","999.9","000000"
"10491099999","1942-01-14",,,,,"  10.4"," 5","   7.0"," 5","1017.7"," 5","999.9"," 0","  2.0"," 5","  4.0"," 5","  8.9","999.9","  14.0"," ","   7.0"," "," 0.02","E","999.9","001000"
"10491099999","1942-01-15",,,,,"  13.0"," 5","   9.6"," 5","1028.5"," 5","999.9"," 0","  4.7"," 5","  1.4"," 5","  5.1","999.9","  19.0"," ","   3.0"," "," 0.00","I","999.9","000000"
