"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10398099999","1942-01-01","52.367","14.517","49.1","FRANKFURT ODER, GQ","  33.3"," 6","  31.5"," 6","1021.3"," 6","999.9"," 0","  0.6"," 6"," 10.3"," 6"," 13.0","999.9","  36.0","*","  28.0","*","99.99"," ","999.9","010000"
"10398099999","1942-01-02","52.367","14.517","49.1","FRANKFURT ODER, GQ","  35.4"," 7","  33.9"," 7","1026.7"," 7","999.9"," 0","  0.6"," 7","  4.9"," 7","  8.9","999.9","  36.0","*","  32.0","*","99.99"," ","999.9","111000"
"10398099999","1942-01-03","52.367","14.517","49.1","FRANKFURT ODER, GQ","  34.6"," 6","  33.2"," 6","1027.4"," 6","999.9"," 0","  0.4"," 6","  1.5"," 6","  5.1","999.9","  36.0","*","  30.0","*"," 0.00","I","999.9","100000"
"10398099999","1942-01-04","52.367","14.517","49.1","FRANKFURT ODER, GQ","  37.6"," 7","  34.9"," 7","1014.7"," 7","999.9"," 0","  1.6"," 7","  7.9"," 7"," 13.0","999.9","  39.0","*","  37.0","*","99.99"," ","999.9","010000"
"10398099999","1942-01-05","52.367","14.517","49.1","FRANKFURT ODER, GQ","  39.2"," 6","  35.5"," 6","1006.4"," 6","999.9"," 0","  2.5"," 6","  9.6"," 6"," 13.0","999.9","  41.0","*","  36.0","*","99.99"," ","999.9","010000"
"10398099999","1942-01-06","52.367","14.517","49.1","FRANKFURT ODER, GQ","  28.7"," 6","  25.7"," 6","1015.5"," 6","999.9"," 0","  9.7"," 6"," 10.5"," 6"," 18.1","999.9","  32.0","*","  25.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-07","52.367","14.517","49.1","FRANKFURT ODER, GQ","  21.2"," 6","  20.5"," 6","1024.5"," 6","999.9"," 0","  2.8"," 6","  0.6"," 6","  1.9","999.9","  25.0","*","  16.0","*"," 0.00","I","999.9","100000"
"10398099999","1942-01-08","52.367","14.517","49.1","FRANKFURT ODER, GQ","  16.0"," 6","  13.7"," 6","1021.4"," 6","999.9"," 0","  0.2"," 6","  0.0"," 6","999.9","999.9","  19.0","*","  12.0","*"," 0.00","I","999.9","100000"
"10398099999","1942-01-09","52.367","14.517","49.1","FRANKFURT ODER, GQ","  19.0"," 6","  16.7"," 6","1014.7"," 6","999.9"," 0","  2.6"," 6","  1.5"," 6","  8.9","999.9","9999.9"," ","9999.9"," "," 0.00","I","999.9","000000"
"10398099999","1942-01-10","52.367","14.517","49.1","FRANKFURT ODER, GQ","  20.7"," 6","  17.5"," 6","1018.5"," 6","999.9"," 0","  6.4"," 6","  5.7"," 6","  8.9","999.9","  23.0","*","  19.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-11","52.367","14.517","49.1","FRANKFURT ODER, GQ","  17.8"," 7","  13.6"," 7","1022.5"," 7","999.9"," 0"," 10.7"," 7","  6.8"," 7","  8.9","999.9","  19.0","*","  16.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-12","52.367","14.517","49.1","FRANKFURT ODER, GQ","  17.0"," 6","   8.9"," 6","1023.0"," 6","999.9"," 0"," 12.4"," 6","  4.1"," 6","  8.9","999.9","  23.0","*","  12.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-13","52.367","14.517","49.1","FRANKFURT ODER, GQ","  10.6"," 7","   5.4"," 7","1016.6"," 7","999.9"," 0","  9.2"," 7","  3.1"," 7","  8.9","999.9","  19.0","*","   3.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-14","52.367","14.517","49.1","FRANKFURT ODER, GQ","  10.0"," 6","   8.1"," 6","1018.5"," 6","999.9"," 0","  6.2"," 6","  2.1"," 6","  5.1","999.9","  14.0","*","   7.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-15","52.367","14.517","49.1","FRANKFURT ODER, GQ","  11.1"," 6","   8.4"," 6","1028.8"," 6","999.9"," 0","  4.3"," 6","  0.6"," 6","  1.9","999.9","  18.0","*","   1.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-16","52.367","14.517","49.1","FRANKFURT ODER, GQ","  17.7"," 6","  14.7"," 6","1026.0"," 6","999.9"," 0","  2.5"," 6","  3.9"," 6","  8.9","999.9","  21.0","*","  14.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-17","52.367","14.517","49.1","FRANKFURT ODER, GQ","  11.7"," 6","   7.3"," 6","1024.3"," 6","999.9"," 0","  2.3"," 6","  6.5"," 6","  8.9","999.9","  14.0","*","  10.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-18","52.367","14.517","49.1","FRANKFURT ODER, GQ","  10.5"," 7","   7.4"," 7","1027.1"," 7","999.9"," 0","  2.5"," 7","  1.9"," 7","  1.9","999.9","  12.0","*","   9.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-19","52.367","14.517","49.1","FRANKFURT ODER, GQ","   9.2"," 6","   5.6"," 6","1027.0"," 6","999.9"," 0","  2.5"," 6","  5.2"," 6","  8.9","999.9","  12.0","*","   7.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-20","52.367","14.517","49.1","FRANKFURT ODER, GQ","   8.1"," 6","   3.2"," 6","1027.0"," 6","999.9"," 0","  4.3"," 6","  3.0"," 6","  5.1","999.9","  10.0","*","   5.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-21","52.367","14.517","49.1","FRANKFURT ODER, GQ","   6.9"," 7","   3.4"," 7","1030.3"," 7","999.9"," 0","  4.6"," 7","  4.0"," 7","  8.9","999.9","  12.0","*","  -2.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-22","52.367","14.517","49.1","FRANKFURT ODER, GQ","   3.3"," 7","   0.6"," 7","1033.2"," 7","999.9"," 0","  2.1"," 7","  0.6"," 7","  1.9","999.9","  10.0","*","  -2.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-23","52.367","14.517","49.1","FRANKFURT ODER, GQ","   8.8"," 6","   6.5"," 6","1031.5"," 6","999.9"," 0","  1.7"," 6","  4.8"," 6","  8.9","999.9","  14.0","*","   1.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-24","52.367","14.517","49.1","FRANKFURT ODER, GQ","   8.5"," 6","   2.3"," 6","1016.3"," 6","999.9"," 0","  1.9"," 6","  3.5"," 6","  5.1","999.9","  16.0","*","   1.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-25","52.367","14.517","49.1","FRANKFURT ODER, GQ","   0.3"," 6","  -2.3"," 6"," 997.3"," 6","999.9"," 0","  3.7"," 6"," 12.2"," 6"," 18.1","999.9","   1.0","*","   0.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-26","52.367","14.517","49.1","FRANKFURT ODER, GQ","   2.3"," 7","  -2.3"," 7","1009.2"," 7","999.9"," 0","  5.1"," 7","  3.9"," 7","  8.9","999.9","   7.0","*","  -6.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-27","52.367","14.517","49.1","FRANKFURT ODER, GQ","   2.0"," 7","  -0.9"," 7","1021.9"," 7","999.9"," 0","  2.1"," 7","  5.7"," 7","  8.9","999.9","   7.0","*","  -2.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-01-28","52.367","14.517","49.1","FRANKFURT ODER, GQ","  13.3"," 6","  10.8"," 6","1004.6"," 6","999.9"," 0","  1.4"," 6","  9.7"," 6"," 13.0","999.9","  18.0","*","   7.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-29","52.367","14.517","49.1","FRANKFURT ODER, GQ","  28.0"," 6","  27.2"," 6"," 998.8"," 6","999.9"," 0","  1.0"," 6","  5.4"," 6","  8.9","999.9","  32.0","*","  23.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-30","52.367","14.517","49.1","FRANKFURT ODER, GQ","  23.3"," 7","  21.3"," 7","1009.9"," 7","999.9"," 0","  1.1"," 7","  5.3"," 7","  8.9","999.9","  27.0","*","  19.0","*","99.99"," ","999.9","001000"
"10398099999","1942-01-31","52.367","14.517","49.1","FRANKFURT ODER, GQ","  14.7"," 6","  12.2"," 6","1010.1"," 6","999.9"," 0","  1.2"," 6","  1.3"," 6","  1.9","999.9","  18.0","*","  12.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-02-01","52.367","14.517","49.1","FRANKFURT ODER, GQ","  12.8"," 6","  10.2"," 6","1018.0"," 6","999.9"," 0","  0.8"," 6","  0.0"," 6","999.9","999.9","  16.0","*","   9.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-02-02","52.367","14.517","49.1","FRANKFURT ODER, GQ","  19.6"," 6","  17.4"," 6","1021.2"," 6","999.9"," 0","  0.7"," 6","  2.0"," 6","  5.1","999.9","  32.0","*","  16.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-03","52.367","14.517","49.1","FRANKFURT ODER, GQ","  18.2"," 6","  15.1"," 6","1024.5"," 6","999.9"," 0","  1.8"," 6","  0.6"," 6","  1.9","999.9","  21.0","*","  16.0","*"," 0.00","I","999.9","000000"
"10398099999","1942-02-04","52.367","14.517","49.1","FRANKFURT ODER, GQ","  22.7"," 6","  20.1"," 6","1014.8"," 6","999.9"," 0","  2.3"," 6","  6.8"," 6"," 13.0","999.9","  25.0","*","  19.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-05","52.367","14.517","49.1","FRANKFURT ODER, GQ","  16.0"," 6","  12.0"," 6","1016.4"," 6","999.9"," 0","  3.7"," 6","  8.3"," 6"," 13.0","999.9","  18.0","*","  14.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-06","52.367","14.517","49.1","FRANKFURT ODER, GQ","  11.4"," 6","   5.3"," 6","1019.3"," 6","999.9"," 0","  5.0"," 6","  5.1"," 6","  5.1","999.9","  14.0","*","  10.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-07","52.367","14.517","49.1","FRANKFURT ODER, GQ","  10.7"," 6","   7.8"," 6","1021.2"," 5","999.9"," 0","  1.7"," 6","  5.8"," 6","  8.9","999.9","  12.0","*","  10.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-08","52.367","14.517","49.1","FRANKFURT ODER, GQ","  16.2"," 6","  13.5"," 6","1023.9"," 6","999.9"," 0","  1.3"," 6","  3.3"," 6","  8.9","999.9","  21.0","*","  10.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-09","52.367","14.517","49.1","FRANKFURT ODER, GQ","  22.3"," 6","  19.7"," 6","1017.4"," 6","999.9"," 0","  1.6"," 6","  8.3"," 6"," 13.0","999.9","  27.0","*","  16.0","*","99.99"," ","999.9","101000"
"10398099999","1942-02-10","52.367","14.517","49.1","FRANKFURT ODER, GQ","  26.2"," 6","  23.7"," 6","1011.2"," 6","999.9"," 0","  1.7"," 6","  7.0"," 6","  8.9","999.9","  30.0","*","  21.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-11","52.367","14.517","49.1","FRANKFURT ODER, GQ","  25.2"," 6","  22.2"," 6","1005.7"," 6","999.9"," 0","  3.4"," 6","  9.7"," 6"," 18.1","999.9","  30.0","*","  21.0","*","99.99"," ","999.9","001000"
"10398099999","1942-02-12","52.367","14.517","49.1","FRANKFURT ODER, GQ","  28.2"," 6","  24.0"," 6","1011.0"," 6","999.9"," 0","  3.3"," 6"," 12.7"," 6"," 18.1","999.9","  32.0","*","  23.0","*","99.99"," ","999.9","001000"
