"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"10642099999","1942-01-01","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  34.7"," 8","  31.5"," 8","1031.7"," 8","999.9"," 0","  0.8"," 8","  0.2"," 8","  1.9","999.9","  37.0"," ","  32.0"," "," 0.02","E","999.9","100000"
"10642099999","1942-01-02","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  34.5"," 7","  33.0"," 7","1034.2"," 6","999.9"," 0","  0.6"," 7","  0.3"," 7","  1.9","999.9","  36.0","*","  32.0","*","99.99"," ","999.9","110000"
"10642099999","1942-01-03","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  35.0"," 7","  33.9"," 7","1031.1"," 7","999.9"," 0","  0.4"," 7","  0.6"," 7","  1.9","999.9","  37.0"," ","  34.0"," "," 0.06","F","999.9","110000"
"10642099999","1942-01-04","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  34.5"," 7","  32.0"," 7","1020.8"," 7","999.9"," 0","  1.0"," 7","  3.8"," 7","  8.9","999.9","  36.0"," ","  32.0","*"," 0.05","F","999.9","110000"
"10642099999","1942-01-05","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  37.3"," 7","  34.6"," 7","1012.0"," 7","999.9"," 0","  1.6"," 7","  6.3"," 7","  8.9","999.9","  39.0"," ","  32.0"," "," 0.12","F","999.9","010000"
"10642099999","1942-01-06","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  30.2"," 6","  25.2"," 6","1016.4"," 6","999.9"," 0","  5.1"," 6","  9.2"," 6"," 13.0","999.9","  34.0","*","  23.0","*"," 0.08","E","999.9","000000"
"10642099999","1942-01-07","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  23.2"," 7","  20.0"," 7","1024.0"," 7","999.9"," 0","  5.7"," 7","  4.2"," 7","  5.1","999.9","  30.0"," ","  19.0"," "," 0.00","I","999.9","000000"
"10642099999","1942-01-08","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  17.9"," 7","  15.5"," 7","1020.8"," 7","999.9"," 0","  2.2"," 7","  1.3"," 7","  5.1","999.9","  27.0"," ","  12.0","*"," 0.00","I","999.9","000000"
"10642099999","1942-01-09","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  14.6"," 8","  11.1"," 8","1013.5"," 8","999.9"," 0","  0.8"," 8","  2.6"," 8","  5.1","999.9","  21.0"," ","   9.0"," "," 0.00","I","999.9","000000"
"10642099999","1942-01-10","50.169189","8.961586","112.16","HANAU ARMY AIR FIELD, GM","  19.0"," 7","  14.2"," 7","1017.0"," 7","999.9"," 0","  3.0"," 7","  5.9"," 7"," 13.0","999.9","  25.0","*","  14.0"," "," 0.00","I","999.9","000000"
